FirstAuthor,count
Unknown,9553
Smith,914
Brown,578
Miller,569
Johnson,537
Jones,496
Lee,475
Williams,390
Anderson,390
Cohen,368
Martin,350
Wilson,333
Davis,325
Taylor,322
Thomas,313
Lewis,280
Suzuki,264
Chen,263
Harris,252
Schmidt,251
Clark,237
Robinson,235
Green,231
Schwartz,230
Roberts,230
Weiss,230
White,227
Müller,226
Moore,226
Davies,226
Scott,222
Thompson,218
Evans,216
Young,214
Chang,213
Schneider,209
Wright,204
Cooper,203
Hall,202
Singh,196
Wood,195
Sato,193
Morris,192
Allen,191
Walker,190
Hill,188
Tanaka,187
Ross,187
Watanabe,185
Klein,183
Lin,182
Yamamoto,179
Baker,178
Goldstein,177
Phillips,174
Wang,174
Friedman,171
Takahashi,169
Ito,168
Campbell,168
Kim,168
Simon,167
Meyer,167
Russell,167
Katz,164
Murphy,163
Stewart,163
Jackson,162
Johansson,162
Nelson,156
Fisher,155
Watson,154
Ward,152
Fischer,152
Marshall,151
Wagner,148
King,148
Gupta,148
Nakamura,147
Adams,147
Gordon,147
Jacobs,146
Edwards,146
Levine,145
Levy,145
Rose,144
Kelly,144
Morgan,144
Parker,144
Weber,142
Yoshida,141
Goldberg,139
Kaplan,139
Kimura,138
Bennett,136
Sharma,135
Rao,134
Collins,134
Kobayashi,133
Becker,132
Andersen,129
Chan,129
James,128
Bell,128
Huang,128
Turner,128
Price,128
Fox,128
Wong,125
Yamada,125
Peterson,124
Shaw,124
Jensen,124
Simpson,124
Rubin,123
Hayashi,122
Kato,120
Cox,120
Shapiro,119
Harrison,118
Hansen,118
Hughes,118
Bauer,117
Richards,116
Peters,115
Wu,114
Murray,113
Kahn,112
Berger,111
Inoue,110
Mitchell,109
Henderson,109
Gross,108
Pearson,107
Gray,107
Robertson,106
Feldman,106
Christensen,106
Graham,105
Levin,105
Clarke,105
Gardner,105
Ho,105
Saito,104
Hamilton,104
Epstein,104
Howard,104
Rosen,103
Stone,103
Stein,102
Ellis,102
Crawford,101
Liu,100
O'Brien,99
Roth,99
Cook,99
Dunn,99
Reynolds,99
Richardson,99
Wolf,98
Mason,98
Shimizu,98
Rogers,98
Beck,98
Vogel,97
Carter,96
Abe,95
Rosenberg,95
Davidson,94
Lange,94
Black,93
Frank,93
Yang,93
Johnston,92
Palmer,92
Ryan,92
Chapman,91
Andersson,90
Li,90
Patel,90
Siegel,89
Alexander,89
Khan,89
Mills,88
Mori,88
Reed,88
Okada,88
David,88
Gibson,87
Koch,87
Ishikawa,87
Lang,86
Rees,86
Reid,86
Goldman,86
Barnes,85
Webb,85
Ferguson,84
Takeuchi,84
Berg,84
Stevens,84
Iveson-Iveson,84
Hashimoto,84
Schultz,83
Thomson,83
Newman,83
Boyd,82
Gaillard,82
Arnold,82
Rosenthal,82
Nilsson,81
Hunt,81
Snyder,81
Perry,81
Wolff,81
Kaufman,80
Schmid,80
Mann,80
Block,80
McDonald,79
Zimmerman,79
Gold,79
Freeman,79
Olofsson,79
Marks,78
Larsson,78
Bloom,78
Cheng,78
Carlson,78
Cunningham,77
Cole,77
Werner,77
Wallace,77
Hoffman,76
Yu,76
Richter,76
Morrison,76
Kumar,76
Keller,76
Holmes,76
Matsumoto,75
Tan,75
Lloyd,75
Greenberg,75
Pedersen,75
Braun,75
Lehmann,74
Hunter,74
Powell,74
Butler,74
Park,74
Fraser,74
Burke,74
Holland,74
Mayer,73
Sullivan,73
Coleman,73
Gilbert,73
Shah,73
Hirsch,73
Wilkinson,73
Nielsen,73
Griffiths,72
Foster,72
Hahn,72
Myers,72
Singer,71
May,71
Warren,71
Brooks,71
Walter,71
Sasaki,71
Cameron,71
Monvall,70
Adler,70
Olson,70
Barrett,70
Maeda,70
Henry,70
Walsh,70
Berman,69
Goodman,69
Kondo,69
Hsu,69
Elliott,69
Lumholtz,69
Reddy,69
Kaiser,69
Fuller,69
Kennedy,69
Matsuda,69
Roy,68
Wells,68
Harvey,68
Bradley,68
Olsen,68
Bach,68
Patterson,68
Gill,68
Petersen,68
Hart,68
Larsen,67
Woods,67
Gould,67
Kay,67
Moss,67
Segal,66
Bernard,66
Hoffmann,66
Marcus,66
Yamaguchi,66
Watkin,66
Dahl,66
Douglas,66
Bailey,66
Griffin,65
Ueda,65
Fujita,65
Greene,65
Benson,65
Sakai,65
Jordan,64
Jacobson,64
Bernstein,64
Ogawa,64
Daniel,64
Ivanov,64
Michel,63
Stern,63
Barker,63
Das,63
Costa,62
Shimada,62
Ikeda,62
Steinberg,62
Ono,62
Fink,62
Valkonen,62
Matthews,62
Dawson,62
Armstrong,62
Stephens,62
Duncan,62
Bishop,62
Burns,62
Cho,61
Dean,61
Engel,61
Schulz,61
Paul,61
Hess,61
Burton,61
Lawrence,61
Hayes,61
Ford,61
Schmitt,61
Spencer,60
Knight,60
Francis,60
