JournalTitle,Year,count
The Journal of pharmacy and pharmacology,1976,362
Biochimica et biophysica acta,1976,361
The Journal of pharmacy and pharmacology,1977,321
Zdravookhranenie Kirgizii,Unknown,307
Biochimica et biophysica acta,1977,307
Drug metabolism and disposition: the biological fate of chemicals,Unknown,257
The Journal of biological chemistry,1977,238
"Revista de medicina interna, neurologe, psihiatrie, neurochirurgie, dermato-venerologie. Medicina interna",Unknown,234
The Journal of biological chemistry,1976,230
"Comparative biochemistry and physiology. A, Comparative physiology",1976,219
The Journal of pharmacy and pharmacology,1978,217
Biochimica et biophysica acta,1978,207
Annales de l'anesthesiologie francaise,1976,161
Biochemistry,1976,142
Annales de l'anesthesiologie francaise,1977,142
Biochemistry,1977,141
European journal of biochemistry,1976,137
The Journal of pharmacy and pharmacology,1975,136
Archives of biochemistry and biophysics,1977,128
Annales de l'anesthesiologie francaise,1975,125
Modern healthcare. [Short-term care ed.],1976,124
"Proceedings of the Royal Society of London. Series B, Biological sciences",1977,122
The Journal of biological chemistry,1978,121
Biochemical and biophysical research communications,1976,113
International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,1976,105
Biochemical and biophysical research communications,1977,104
European journal of biochemistry,1977,103
Journal of biochemistry,1977,102
The Biochemical journal,1976,101
The Biochemical journal,1977,101
Archives of biochemistry and biophysics,1976,100
Aktuelle Gerontologie,1978,95
Advances in experimental medicine and biology,1977,94
Annales de l'anesthesiologie francaise,1978,93
"Proceedings of the Royal Society of London. Series B, Biological sciences",1976,92
IMJ. Illinois medical journal,1976,90
Acta virologica,1976,90
Aktuelle Gerontologie,1977,85
Acta virologica,1977,84
Journal of bacteriology,1977,83
Journal of bacteriology,1976,82
IMJ. Illinois medical journal,1977,82
Comparative biochemistry and physiology. C: Comparative pharmacology,1978,81
FEBS letters,1976,79
Journal of biochemistry,1976,79
Comparative biochemistry and physiology. C: Comparative pharmacology,1977,77
Biochemical and biophysical research communications,1978,75
Biochemical pharmacology,1976,74
Proceedings of the National Academy of Sciences of the United States of America,1977,73
FEBS letters,1977,73
European journal of biochemistry,1978,72
Acta virologica,1978,72
Comparative biochemistry and physiology. C: Comparative pharmacology,1976,69
Archives of biochemistry and biophysics,1978,69
The Biochemical journal,1978,69
Clinica chimica acta; international journal of clinical chemistry,1977,68
Biochemistry,1978,67
Dimensions in health service,1976,64
Journal of pharmaceutical sciences,1976,64
Journal of pharmaceutical sciences,1977,63
Clinica chimica acta; international journal of clinical chemistry,1976,62
Mikrobiologiia,Unknown,62
Farmakologiia i toksikologiia,Unknown,62
Proceedings of the National Academy of Sciences of the United States of America,1976,61
Journal of bacteriology,1978,60
International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,1978,58
British medical journal,1976,57
Clinical chemistry,1976,57
The American journal of physiology,1976,57
"Biokhimiia (Moscow, Russia)",1976,57
Journal of neurochemistry,1977,57
FEBS letters,1978,57
Journal of biochemistry,1975,56
The American journal of physiology,1977,56
"Biokhimiia (Moscow, Russia)",1977,56
Life sciences,1978,56
